Action,Expected Result
Footnote Image,
Go to Navigation bar enter ->https://internet.frontier.com/,Frontier Communications Landing page (https://internet.frontier.com/)displays no errors
Verify Footnote image>  Footnote [1] & [2] ,"Text should display data image-> [1] Must subscribe to a new quailing High-Speed internet plan with a minimum speed range of 6.1 Mbps to 12Mbps download or faster. Amazon Prime offer requires a two-year agreement and maximum $120 Frontier early termination fee on new Frontier serves. Other offers apply for qualifying lower Internet speed tiers. [2] $19.99 Internet offer: Limited-time for new Internet customers. Must subscribe to new High-Speed Internet service with speed ranges of 1.61 Mbps to Mbps download. After 12-month promotional period, price goes to $34.99 for months 13 to 24."
,
,
,
,
,
